type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.1.1-1, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-1,-16.39105912803267,-71.52870505086037,-16.3910591280327,-71.5287050508604,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39111194206456,-71.52867079887965,-16.3911119420646,-71.5286707988796,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39108462395294,-71.52840592271699,-16.3910846239529,-71.528405922717,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39106808310988,-71.52814913153499,-16.3910680831099,-71.528149131535,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39101739998142,-71.52796254781558,-16.3910173999814,-71.5279625478156,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39060189462215,-71.52824899349221,-16.3906018946221,-71.5282489934922,False, , ,0, , , , , , 
TRACK,1.1.1-1,-16.39087216235909,-71.52852308498677,-16.3908721623591,-71.5285230849868,False, , ,0, , , , , , 
TRACK,1.1.1-2, , ,0,0, , , , , , , , , , 
TRACK,1.1.1-2,-16.39074650513318,-71.52789206279977,-16.3907465051332,-71.5278920627998,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39071414135841,-71.52782255596458,-16.3907141413584,-71.5278225559646,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39066190353347,-71.52763742682004,-16.3906619035335,-71.52763742682,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.3905760891798,-71.52751024514166,-16.3905760891798,-71.5275102451417,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39035513407148,-71.52719605013749,-16.3903551340715,-71.5271960501375,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39021109244331,-71.52687237739072,-16.3902110924433,-71.5268723773907,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39006086741708,-71.52655829019662,-16.3900608674171,-71.5265582901966,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.38996888464835,-71.52660746651597,-16.3899688846484,-71.526607466516,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39016349990784,-71.52691984225602,-16.3901634999078,-71.526919842256,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39018750019959,-71.52697631887696,-16.3901875001996,-71.5269763188769,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39013934240395,-71.52703564671411,-16.3901393424039,-71.5270356467141,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39010133283587,-71.5269640559066,-16.3901013328359,-71.5269640559066,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.3901325826898,-71.52693912904226,-16.3901325826898,-71.5269391290422,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.39006661035552,-71.52685663826196,-16.3900666103555,-71.5268566382619,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.38994271547934,-71.52661822760952,-16.3899427154793,-71.5266182276095,False, , ,0, , , , , , 
TRACK,1.1.1-2,-16.38983293097303,-71.52668393956449,-16.389832930973,-71.5266839395645,False, , ,0, , , , , , 
