1.24.10.228,"-16.4333201913512 -71.6004346636106"
1.24.1.3,"-16.4473342484835 -71.6006570113811"
1.24.1.295,"-16.4487564164085 -71.5940098259664"
1.24.13.54,"-16.4431787567609 -71.6099088200198"
1.24.9.25,"-16.4428338706921 -71.5836045080237"
1.24.9.26,"-16.4434646366620 -71.5831332425819"
1.24.14.15,"-16.4452148552798 -71.5787102897581"
1.24.14.18,"-16.4454535248208 -71.5806972377396"
1.24.14.62,"-16.4443241283030 -71.5783110581395"
1.24.8.12,"-16.4414631598686 -71.5876748202841"
1.24.8.13,"-16.4414247954267 -71.5874973823043"
1.24.8.14,"-16.4413241978472 -71.5875577633319"
1.24.8.15,"-16.4412155276427 -71.5875687841677"
1.24.8.27,"-16.4413594565037 -71.5871259360483"
1.24.8.28,"-16.4412765340578 -71.5871294906545"
1.24.8.30,"-16.4411318428682 -71.5871366430030"
1.24.8.38,"-16.4411010852306 -71.5867265406479"
1.24.8.39,"-16.4410127964723 -71.5867281183967"
1.24.8.49,"-16.4410586225804 -71.5862609726863"
1.24.8.50,"-16.4409588674326 -71.5862634931277"
1.24.8.51,"-16.4406758348845 -71.5863372505277"
1.24.8.66,"-16.4403670218554 -71.5859329505409"
1.24.8.135,"-16.4408485690133 -71.5888057928229"
1.24.8.157,"-16.4414856327795 -71.5883589658150"
1.24.5.61,"-16.4400950173369 -71.5965182733262"
1.24.5.89,"-16.4393061010250 -71.5955800927451"
1.24.5.98,"-16.4391247533828 -71.5954166220534"
1.24.5.99,"-16.4391438831610 -71.5952919729765"
1.24.5.189,"-16.4401269727407 -71.5970979323825"
1.24.5.195,"-16.4403033051820 -71.5976671852667"
1.24.5.211,"-16.4394074389735 -71.5974016644069"
1.24.5.212,"-16.4392985097524 -71.5974339275103"
1.24.5.213,"-16.4391954129162 -71.5974679634812"
1.24.5.214,"-16.4390856974941 -71.5975110770466"
1.24.5.216,"-16.4390112872642 -71.5976224796004"
1.24.5.241,"-16.4397233675608 -71.5979752299841"
1.24.5.259,"-16.4401689733382 -71.5985481591985"
1.24.5.260,"-16.4401472664862 -71.5985801896655"
1.24.5.264,"-16.4400998756807 -71.5987406900045"
1.24.5.563,"-16.4386165879344 -71.5952931029898"
1.24.5.564,"-16.4386550676562 -71.5952099489990"
1.24.6.13,"-16.4410746767962 -71.5936629388163"
1.24.6.15,"-16.4408971467651 -71.5937321013045"
1.24.6.31,"-16.4399017835139 -71.5931355062199"
1.24.6.67,"-16.4403244682032 -71.5940007653538"
1.24.6.91,"-16.4407520360186 -71.5945746014004"
1.24.6.92,"-16.4406188454212 -71.5946798058129"
1.24.6.93,"-16.4401745410873 -71.5942142463307"
1.24.6.119,"-16.4401701054369 -71.5948711193985"
1.24.4.1,"-16.4399531181311 -71.5995948793228"
1.24.4.2,"-16.4398386257212 -71.5996323297148"
1.24.4.12,"-16.4405480982925 -71.6007305221185"
1.24.4.13,"-16.4405676111672 -71.6008201131833"
1.24.4.14,"-16.4405474081895 -71.6009063762050"
1.24.4.15,"-16.4404878999514 -71.6010148008326"
1.24.4.16,"-16.4404568948942 -71.6011062075453"
1.24.4.18,"-16.4403742224455 -71.6011888270569"
1.24.4.22,"-16.4403722967286 -71.6015649091481"
1.24.4.23,"-16.4404789063050 -71.6015456992527"
1.24.4.26,"-16.4404063095006 -71.6017318148443"
1.24.4.27,"-16.4404159625844 -71.6018372606841"
1.24.4.37,"-16.4405347378690 -71.6023137586955"
1.24.4.38,"-16.4406182785838 -71.6024681331515"
1.24.4.41,"-16.4406636005698 -71.6025916509009"
1.24.4.42,"-16.4407069664800 -71.6026819706093"
1.24.4.43,"-16.4407331277996 -71.6027859633984"
1.24.4.52,"-16.4410769244094 -71.6027691387061"
1.24.4.53,"-16.4409998175704 -71.6027604296466"
1.24.4.63,"-16.4409728216481 -71.6024559976502"
1.24.4.64,"-16.4408795659933 -71.6024625382900"
1.24.4.65,"-16.4408371351822 -71.6023116567244"
1.24.4.73,"-16.4407911390766 -71.6021605891687"
1.24.4.92,"-16.4406820681710 -71.6010186042574"
1.24.4.100,"-16.4407361097972 -71.6007966289170"
1.24.4.101,"-16.4407386203251 -71.6007271819365"
1.24.4.102,"-16.4407163707544 -71.6006439995141"
1.24.4.103,"-16.4408252477103 -71.6006354011375"
1.24.4.104,"-16.4409251907311 -71.6006375362111"
1.24.4.108,"-16.4406706849690 -71.6004650584687"
1.24.4.109,"-16.4406371908097 -71.6003934674672"
1.24.4.110,"-16.4405978296161 -71.6003088705918"
1.24.4.115,"-16.4411733469599 -71.5996382212467"
1.24.4.121,"-16.4404639534547 -71.6000419579985"
1.24.4.122,"-16.4405273616393 -71.5999786916425"
1.24.4.123,"-16.4405920633208 -71.5999485260185"
1.24.4.125,"-16.4406947622728 -71.5998540022097"
1.24.4.131,"-16.4403052119509 -71.5997894405923"
1.24.4.133,"-16.4404202781232 -71.5996701356352"
1.24.4.134,"-16.4404793018615 -71.5996001870263"
1.24.4.136,"-16.4404190507074 -71.5994478949284"
1.24.11A.24,"-16.4211183089253 -71.6037344137879"
1.24.11A.23,"-16.4210937150399 -71.6041600170942"
1.24.11A.14,"-16.4162113962376 -71.5974590415141"
1.24.11A.15,"-16.4156617945517 -71.5974543165521"
1.24.11A.63,"-16.4236389892406 -71.6133043370123"
1.24.11A.73,"-16.4131327901899 -71.6104255795593"
1.24.11A.83,"-16.4114024708288 -71.6120023094590"
1.24.11A.84,"-16.4115130401381 -71.6121971150649"
1.24.11A.122,"-16.4102546960131 -71.6192449031704"
1.24.11A.138,"-16.4156432064397 -71.6247666532798"
1.24.11A.187,"-16.4302493873851 -71.6162097855693"
1.24.11A.174,"-16.4265159471685 -71.6181233146967"
1.24.11A.180,"-16.4325177276484 -71.6208931800976"
1.24.11A.202,"-16.4352056636176 -71.6190098906085"
1.24.2.1,"-16.4405339831337 -71.5927414697544"
